"Simbolo","Denaro","Lettera","Apertura","Massimo","Minimo","Var.","Var. %","Ora"
"EUR/USD","1,1040","1,1044","1,1089","1,1119","1,1003","-0,0047","-0,42%","15:11:58"
"USD/JPY","119,18","119,21","118,58","119,40","118,47","+0,61","+0,51%","15:11:56"
"GBP/USD","1,3156","1,3160","1,3147","1,3184","1,3111","+0,0012","+0,09%","15:11:56"
"USD/TRY","14,7684","14,7799","14,6926","14,8263","14,6728","+0,0816","+0,56%","15:12:01"
"USD/CHF","0,9348","0,9353","0,9369","0,9384","0,9333","-0,0018","-0,19%","15:12:02"
"USD/CAD","1,2615","1,2616","1,2625","1,2639","1,2595","-0,0010","-0,08%","15:12:00"
"EUR/JPY","131,61","131,63","131,50","131,90","131,20","+0,12","+0,09%","15:12:01"
"AUD/USD","0,7393","0,7395","0,7374","0,7409","0,7361","+0,0020","+0,27%","15:11:56"
"NZD/USD","0,6893","0,6897","0,6880","0,6910","0,6867","+0,0016","+0,23%","15:12:02"
"EUR/GBP","0,8388","0,8395","0,8433","0,8438","0,8389","-0,0042","-0,49%","15:11:58"
"EUR/CHF","1,0320","1,0329","1,0388","1,0402","1,0309","-0,0064","-0,61%","15:11:58"
"AUD/JPY","88,09","88,17","87,45","88,14","87,39","+0,68","+0,78%","15:12:04"
"GBP/JPY","156,78","156,87","155,90","156,84","155,87","+0,93","+0,59%","15:12:03"
"CHF/JPY","127,46","127,49","126,54","127,51","126,50","+0,93","+0,73%","15:12:00"
"EUR/CAD","1,3926","1,3935","1,4000","1,4032","1,3895","-0,0070","-0,50%","15:11:58"
"AUD/CAD","0,9324","0,9330","0,9310","0,9337","0,9295","+0,0017","+0,18%","15:11:59"
"CAD/JPY","94,44","94,51","93,90","94,54","93,78","+0,57","+0,61%","15:12:03"
"NZD/JPY","82,17","82,21","81,58","82,21","81,55","+0,61","+0,75%","15:11:56"
"AUD/NZD","1,0719","1,0728","1,0713","1,0730","1,0704","+0,0011","+0,10%","15:11:57"
"GBP/AUD","1,7785","1,7807","1,7818","1,7850","1,7767","-0,0022","-0,12%","15:12:02"
"EUR/AUD","1,4928","1,4941","1,5030","1,5050","1,4922","-0,0096","-0,64%","15:11:58"
"GBP/CHF","1,2301","1,2306","1,2316","1,2341","1,2264","-0,0012","-0,09%","15:12:01"
"EUR/NZD","1,6008","1,6024","1,6111","1,6130","1,5999","-0,0095","-0,59%","15:12:03"
"AUD/CHF","0,6912","0,6916","0,6908","0,6941","0,6886","+0,0006","+0,09%","15:12:02"
"GBP/NZD","1,9078","1,9090","1,9101","1,9126","1,9055","-0,0015","-0,08%","15:12:03"
"USD/INR","76,119","76,120","75,999","76,216","75,938","+0,121","+0,16%","15:12:01"
"USD/CNY","6,3616","6,3636","6,3470","6,3670","6,3470","+0,0156","+0,25%","15:11:41"
"USD/SGD","1,3562","1,3567","1,3535","1,3585","1,3529","+0,0031","+0,23%","15:12:02"
"USD/HKD","7,8205","7,8208","7,8182","7,8225","7,8163","+0,0025","+0,03%","15:12:00"
"USD/DKK","6,7378","6,7388","6,7111","6,7636","6,6954","+0,0286","+0,43%","15:12:01"
"GBP/CAD","1,6595","1,6605","1,6598","1,6633","1,6538","+0,0003","+0,02%","15:11:56"
"USD/SEK","9,4331","9,4361","9,4150","9,4824","9,3968","+0,0200","+0,21%","15:12:04"
"USD/RUB","104,4998","104,4998","103,1500","105,5971","101,9980","+1,3498","+1,31%","15:11:54"
"USD/MXN","20,4307","20,4372","20,5100","20,5430","20,4322","-0,0810","-0,39%","15:12:01"
"USD/ZAR","14,9855","14,9897","14,8996","15,0306","14,8971","+0,0690","+0,46%","15:12:02"
"CAD/CHF","0,7411","0,7415","0,7418","0,7441","0,7401","-0,0005","-0,07%","15:12:03"
"NZD/CAD","0,8694","0,8701","0,8685","0,8709","0,8670","+0,0013","+0,14%","15:11:59"
"NZD/CHF","0,6443","0,6449","0,6445","0,6473","0,6423","+0,0002","+0,03%","15:11:59"
"BTC/USD","40.767,0","40.770,0","41.131,0","41.107,0","40.161,0","-358,0","-0,87%","15:11:57"
"BTC/EUR","36.920,2","36.925,3","36.864,5","36.961,9","36.300,0","+55,5","+0,15%","15:11:55"
"ETH/USD","2.831,58","2.831,59","2.799,13","2.835,63","2.765,59","+32,45","+1,16%","15:11:58"
